"gene_id","D1","D3","Z3","MP2","Z1","Z2","MS1","MP1","D7","D9","ZH2","D4","D5","D6"
"ENSMUSG00000000702",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",26,34,31,24,57,17,39,13,66,75,70,86,57,63
"ENSMUSG00000000708",878,917,446,262,1068,743,1262,580,936,975,1023,939,825,804
"ENSMUSG00000000711",1621,1642,695,383,1552,977,1529,758,1530,1621,1696,1314,1454,1380
"ENSMUSG00000000724",1,0,0,2,0,5,2,0,1,6,0,5,2,0
"ENSMUSG00000000730",4,0,0,0,0,0,0,4,0,0,0,1,0,1
"ENSMUSG00000000731",5,21,4,5,3,4,13,44,0,5,8,3,6,4
"ENSMUSG00000000732",289,219,163,91,178,120,265,202,181,252,261,154,236,219
"ENSMUSG00000000738",3284,2561,1637,1352,2445,1565,2408,2044,2524,2119,2220,1966,1703,1832
"ENSMUSG00000000739",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000740",34782,28501,23336,21419,25572,15171,15782,22942,20380,24315,20322,20246,17844,19160
"ENSMUSG00000000743",6099,6012,2960,2124,5027,2223,4315,3643,4921,5311,5554,4003,4095,4153
"ENSMUSG00000000751",1592,972,546,549,1160,1082,1491,864,1114,1027,1361,1048,1093,1066
"ENSMUSG00000000753",0,2,0,0,1,0,1,0,4,3,2,0,0,2
"ENSMUSG00000000759",1315,1006,637,641,992,788,1271,925,1087,993,898,897,978,897
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000000776",616,421,324,171,526,424,375,426,487,519,466,367,507,468
"ENSMUSG00000000782",181,96,133,44,141,122,69,46,80,92,136,65,82,108
"ENSMUSG00000000787",6425,5149,3276,1875,8648,6831,12151,5427,6701,6738,7982,8347,6818,6653
"ENSMUSG00000000791",20,23,0,11,1,6,10,19,6,17,30,21,36,20
"ENSMUSG00000000792",15,12,15,14,6,23,22,15,11,20,15,14,21,11
"ENSMUSG00000000794",0,1,0,0,0,0,0,1,2,1,0,0,0,0
"ENSMUSG00000000804",670,642,267,235,774,567,1051,432,739,812,890,773,787,654
"ENSMUSG00000000805",10790,11578,5947,4775,6065,4871,9371,10089,8600,11938,8942,4674,4795,3223
