gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000001227,209,297,80,190,76,222,296,335,206,304,310,272
ENSMUSG00000001228,1662,1030,621,1209,996,1828,1485,1081,1964,1106,1497,1600
ENSMUSG00000001229,1755,1234,655,1199,637,1573,1653,1446,1598,1019,1264,1161
ENSMUSG00000001240,10,8,0,3,0,10,3,1,3,2,3,0
ENSMUSG00000001247,2006,2186,762,2714,967,2470,1540,1609,2139,1342,1669,1496
ENSMUSG00000001248,516,406,368,336,200,157,138,206,248,171,134,173
ENSMUSG00000001249,316,350,229,350,147,282,206,172,191,111,182,186
ENSMUSG00000001260,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001270,675,261,233,313,429,491,233,163,216,250,284,472
ENSMUSG00000001280,1903,1840,844,2315,1823,3106,2182,1831,2258,2073,2093,1998
ENSMUSG00000001281,112,51,63,59,42,57,43,73,116,43,83,72
ENSMUSG00000001285,995,900,515,675,409,653,600,716,629,591,546,556
ENSMUSG00000001288,579,377,177,315,223,216,329,372,295,211,288,303
ENSMUSG00000001289,3287,2581,2325,2209,1734,1379,1749,2351,1842,2186,1604,1592
ENSMUSG00000001300,2050,1809,829,1910,1430,2453,2155,2147,2425,1565,1853,1551
ENSMUSG00000001305,484,265,289,326,245,357,301,264,246,351,262,319
ENSMUSG00000001313,69,54,28,59,55,100,37,61,60,50,60,60
ENSMUSG00000001323,392,327,137,274,255,371,299,287,300,237,244,241
ENSMUSG00000001333,25,28,22,42,30,25,6,14,44,14,44,26
ENSMUSG00000001334,110,68,90,55,56,16,49,41,40,18,33,27
ENSMUSG00000001348,6639,6389,3046,5461,2972,4660,5002,4919,5023,4006,3850,4125
ENSMUSG00000001349,4,2,0,0,0,0,1,4,0,0,0,10
ENSMUSG00000001366,1245,1038,462,1155,743,1293,1046,1014,1076,884,879,920
ENSMUSG00000001376,653,655,316,648,752,928,686,614,727,773,698,679
ENSMUSG00000001379,616,453,318,331,265,382,471,515,535,397,395,353
ENSMUSG00000001380,1201,964,537,999,838,1097,1101,1036,1156,1217,1020,1164
ENSMUSG00000001383,1676,1438,726,1349,1047,1060,1297,1268,1390,1154,1140,1117
ENSMUSG00000001403,2353,2042,920,2005,1378,1850,1177,1312,1589,708,1006,985
ENSMUSG00000001415,2164,1842,1158,1830,1309,1771,1938,2072,2204,1763,1964,1833
ENSMUSG00000001416,4933,3558,1929,3608,2641,4314,4106,3814,4012,3713,3698,3825
ENSMUSG00000001417,269,216,163,169,36,154,218,215,253,97,97,105
ENSMUSG00000001418,3003,3110,1654,2636,1379,2167,2119,2545,2489,1514,2024,1710
ENSMUSG00000001419,2313,2157,842,2002,1172,2545,2230,2184,2379,1424,2035,1650
ENSMUSG00000001420,1323,1346,476,1017,445,926,1042,1159,1217,897,925,982
ENSMUSG00000001424,3601,3329,1339,3792,2215,4793,4448,3959,5406,3414,4095,3619
ENSMUSG00000001435,77,57,55,53,3,43,58,49,47,34,27,19
ENSMUSG00000001436,421,319,174,258,216,469,386,271,428,244,321,315
ENSMUSG00000001440,5831,4606,2487,5796,4896,7094,5404,5100,6616,4483,5362,5119
ENSMUSG00000001441,3008,2799,1101,2680,1948,2721,2624,2802,2896,2135,2495,2157
ENSMUSG00000001444,16,2,0,0,15,9,3,11,12,2,3,5
ENSMUSG00000001445,1704,1358,760,1276,727,1380,1232,1197,1233,828,1025,1054
ENSMUSG00000001467,3945,4052,1867,4980,4840,7240,6026,6473,5480,6020,5209,6054
ENSMUSG00000001472,5768,4670,3039,4529,2893,5007,4612,4713,4926,3896,4377,4016
ENSMUSG00000001473,117,61,76,50,51,62,133,61,50,56,43,50
ENSMUSG00000001482,424,287,205,332,239,364,358,300,426,243,299,298
ENSMUSG00000001493,5,18,8,17,0,14,9,5,12,4,13,14
ENSMUSG00000001494,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001496,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001497,0,2,0,0,0,0,0,1,1,0,0,0
ENSMUSG00000001504,1,0,0,0,0,0,0,0,0,2,2,1
ENSMUSG00000001506,2,2,0,29,0,18,3,4,4,19,15,26
ENSMUSG00000001507,5179,4221,2413,3867,2494,5071,4703,5291,5344,3678,4507,4045
ENSMUSG00000001508,2,3,0,1,6,0,6,0,2,1,0,0
ENSMUSG00000001510,0,0,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000001517,1059,664,369,822,625,1074,731,674,768,510,539,558
ENSMUSG00000001518,406,353,248,439,187,389,416,402,346,303,305,299
ENSMUSG00000001520,11,19,4,20,9,30,16,23,24,20,24,12
ENSMUSG00000001521,33,29,28,18,27,56,61,30,32,38,29,36
ENSMUSG00000001524,576,442,279,339,178,371,412,381,441,324,343,421
ENSMUSG00000001525,9393,7024,3731,7651,4996,9363,6197,5414,8368,6426,6133,6676
ENSMUSG00000001542,810,708,360,768,684,926,739,851,931,681,908,630
ENSMUSG00000001552,8269,9000,3599,7562,4098,8545,7826,7443,8726,5483,7557,6144
ENSMUSG00000001555,1,6,0,3,0,4,1,0,2,2,1,1
ENSMUSG00000001558,235,190,67,207,173,161,140,192,145,190,146,186
ENSMUSG00000001566,73,70,36,81,28,10,31,26,30,17,28,14
ENSMUSG00000001569,831,683,378,859,682,851,708,597,816,690,754,744
ENSMUSG00000001576,3275,2217,1067,2698,1950,2837,2119,2136,2557,1769,2073,1999
ENSMUSG00000001583,929,901,348,713,466,856,839,856,901,558,821,623
ENSMUSG00000001588,124,42,32,43,16,24,32,81,87,36,56,63
ENSMUSG00000001604,2033,1401,833,1298,1121,1010,1048,1323,1572,465,948,853
ENSMUSG00000001622,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001627,771,546,419,653,588,998,651,668,555,579,535,532
ENSMUSG00000001630,2035,1845,862,1899,1426,2946,2170,1944,2239,1705,1726,1326
ENSMUSG00000001632,1181,990,455,937,615,1148,1004,1201,1150,1026,1138,918
ENSMUSG00000001642,1509,1786,594,1657,968,1688,1527,1519,1497,1778,1567,1548
ENSMUSG00000001655,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001656,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001657,1,0,0,0,0,0,0,0,1,0,0,0
