gene_id,MP1,MP2
ENSMUSG00000074656,5113,2138
ENSMUSG00000019818,5377,1866
ENSMUSG00000036371,5176,2067
ENSMUSG00000020451,4691,2548
ENSMUSG00000042079,5228,1995
ENSMUSG00000024712,4918,2301
ENSMUSG00000029622,4973,2241
ENSMUSG00000026380,5439,1753
ENSMUSG00000027828,5452,1732
ENSMUSG00000020484,5251,1920
ENSMUSG00000024036,4523,2639
ENSMUSG00000024758,5260,1896
ENSMUSG00000005161,4712,2440
ENSMUSG00000029330,4991,2147
ENSMUSG00000044147,5133,1997
ENSMUSG00000021215,5389,1738
ENSMUSG00000004897,5101,2018
ENSMUSG00000017009,4720,2397
ENSMUSG00000063511,4569,2501
ENSMUSG00000051483,4745,2321
ENSMUSG00000019188,4829,2232
ENSMUSG00000037072,4998,2054
ENSMUSG00000027315,5011,2017
ENSMUSG00000009863,4673,2336
ENSMUSG00000028820,5072,1922
ENSMUSG00000033577,5023,1971
ENSMUSG00000022479,4174,2816
ENSMUSG00000029102,3823,3156
ENSMUSG00000024949,4611,2364
ENSMUSG00000042638,4961,2014
ENSMUSG00000022010,4849,2122
ENSMUSG00000027406,4202,2768
ENSMUSG00000031996,4942,2022
ENSMUSG00000022680,4434,2529
ENSMUSG00000020917,4454,2508
ENSMUSG00000025745,4464,2492
ENSMUSG00000067038,3575,3364
ENSMUSG00000028745,5091,1840
ENSMUSG00000042306,5754,1175
ENSMUSG00000029201,4258,2653
ENSMUSG00000030762,4559,2348
ENSMUSG00000049751,4310,2596
ENSMUSG00000005779,4949,1951
ENSMUSG00000028392,4486,2414
ENSMUSG00000022216,4477,2418
ENSMUSG00000021263,5371,1502
ENSMUSG00000052151,4665,2205
ENSMUSG00000006304,5004,1856
ENSMUSG00000004264,4166,2688
ENSMUSG00000028786,4552,2296
ENSMUSG00000024012,4362,2479
ENSMUSG00000020577,4315,2524
ENSMUSG00000026553,4820,1999
ENSMUSG00000022463,4464,2355
ENSMUSG00000029646,4264,2555
ENSMUSG00000003345,4001,2814
ENSMUSG00000041028,4838,1965
ENSMUSG00000049604,4473,2324
ENSMUSG00000040659,5207,1587
ENSMUSG00000020741,4259,2534
ENSMUSG00000034781,4609,2172
ENSMUSG00000071659,4661,2114
ENSMUSG00000037408,4819,1949
ENSMUSG00000037095,5271,1495
ENSMUSG00000024955,4670,2080
ENSMUSG00000052738,4534,2215
ENSMUSG00000030120,4519,2228
ENSMUSG00000055302,4636,2091
ENSMUSG00000078578,4478,2244
ENSMUSG00000059208,5165,1545
ENSMUSG00000032562,4602,2105
ENSMUSG00000028333,3893,2813
ENSMUSG00000030838,4306,2396
ENSMUSG00000017723,4203,2492
ENSMUSG00000037419,4482,2206
ENSMUSG00000092341,4299,2374
ENSMUSG00000021427,5036,1634
ENSMUSG00000031886,4994,1669
ENSMUSG00000001472,3931,2725
ENSMUSG00000047230,4774,1870
ENSMUSG00000029922,4287,2331
ENSMUSG00000032216,5022,1585
ENSMUSG00000056076,4068,2534
ENSMUSG00000014956,4855,1746
ENSMUSG00000008036,4129,2465
ENSMUSG00000071650,4539,2054
ENSMUSG00000021640,4661,1928
ENSMUSG00000039218,4413,2174
ENSMUSG00000024248,4286,2294
ENSMUSG00000033379,4513,2065
ENSMUSG00000068267,3670,2897
ENSMUSG00000055044,5136,1425
ENSMUSG00000004789,4583,1966
ENSMUSG00000001095,3152,3391
ENSMUSG00000017721,4591,1949
ENSMUSG00000045302,4175,2359
ENSMUSG00000044393,4983,1548
ENSMUSG00000030793,4444,2085
ENSMUSG00000019888,5082,1443
ENSMUSG00000055839,3942,2572
ENSMUSG00000032096,4553,1959
ENSMUSG00000018379,4674,1832
ENSMUSG00000007029,3935,2566
ENSMUSG00000025792,3214,3286
ENSMUSG00000037280,3987,2507
ENSMUSG00000024393,4468,2021
ENSMUSG00000028064,4488,1996
ENSMUSG00000000631,4510,1970
ENSMUSG00000000088,5384,1092
ENSMUSG00000020190,3793,2673
ENSMUSG00000035325,4448,2018
ENSMUSG00000041740,3938,2524
ENSMUSG00000028797,3601,2853
ENSMUSG00000001507,4783,1666
ENSMUSG00000063870,4169,2279
ENSMUSG00000032536,3845,2603
ENSMUSG00000018326,4764,1683
ENSMUSG00000047547,4314,2131
ENSMUSG00000022312,3912,2533
ENSMUSG00000001467,4804,1635
ENSMUSG00000068240,3483,2946
ENSMUSG00000024740,4543,1881
ENSMUSG00000026519,3949,2465
ENSMUSG00000019066,3991,2419
ENSMUSG00000020777,4174,2225
ENSMUSG00000041355,4599,1795
ENSMUSG00000024215,3549,2838
ENSMUSG00000036309,4563,1822
ENSMUSG00000020149,4778,1602
ENSMUSG00000054766,4413,1960
ENSMUSG00000031803,3841,2526
ENSMUSG00000018583,4379,1984
ENSMUSG00000025647,4196,2159
ENSMUSG00000020009,4513,1834
ENSMUSG00000061838,4151,2192
ENSMUSG00000029545,3705,2634
ENSMUSG00000024099,4388,1948
